lon,lat,depth_m,x,y,temp C,cond (uS/cm),salt,pH,turb NTU,chl(ug/L),odo(mg/L)
114.0235011369,22.6836561094,1,193163,2512697,34.72,182.31,0.07,7.89,1.56,11.80,11.86
114.0235278373,22.6836895782,2,193163,2512697,25.58,188.73,0.08,7.47,1.84,9.25,9.21
114.0235510680,22.6835902743,3,193163,2512697,43.65,135.72,0.10,9.22,3.59,3.62,7.54
114.0235594560,22.6836821332,4,193163,2512697,30.46,174.56,0.08,8.92,3.71,5.69,5.47
114.0235416267,22.6835876835,5,193163,2512697,40.13,234.47,0.08,8.71,5.48,5.03,3.64
114.0235361662,22.6838041633,1,193163,2512702,37.28,136.30,0.07,9.50,1.18,11.83,7.67
114.0236107706,22.6837282224,2,193163,2512702,37.69,177.77,0.06,9.50,2.00,7.05,9.31
114.0235249672,22.6838054144,3,193163,2512702,40.13,191.82,0.10,7.57,3.13,3.75,5.75
114.0235320962,22.6837291060,4,193163,2512702,41.83,168.23,0.09,8.66,5.85,4.19,4.00
114.0235009525,22.6836262557,5,193163,2512702,29.50,223.50,0.11,8.41,4.96,7.27,4.00
114.0236381857,22.6837668487,1,193168,2512697,35.41,196.89,0.07,9.18,1.14,10.81,8.21
114.0235546733,22.6836595860,2,193168,2512697,37.77,187.83,0.06,8.08,2.54,6.98,8.34
114.0237064665,22.6836323219,3,193168,2512697,35.26,228.56,0.09,8.40,3.50,4.11,7.10
114.0235324772,22.6836374642,4,193168,2512697,34.25,225.45,0.06,9.50,4.39,7.63,4.21
114.0237217527,22.6835897637,5,193168,2512697,31.59,230.52,0.09,8.45,5.72,4.08,4.83
114.0235843957,22.6837922269,1,193168,2512702,43.30,180.80,0.09,8.87,1.04,16.14,8.94
114.0236613600,22.6837053603,2,193168,2512702,30.10,145.62,0.07,9.50,2.39,5.76,7.18
114.0235455830,22.6837439609,3,193168,2512702,41.80,174.02,0.06,8.16,3.23,6.11,6.62
114.0235578467,22.6838048432,4,193168,2512702,36.83,187.98,0.09,7.15,3.68,5.40,4.61
114.0236161001,22.6837111452,5,193168,2512702,35.85,237.32,0.09,9.50,4.19,5.69,3.07
114.0235801372,22.6837008894,1,193168,2512707,35.29,180.71,0.07,7.68,1.19,11.18,8.95
114.0236404710,22.6836729653,2,193168,2512707,30.06,161.72,0.07,7.05,2.49,7.37,9.01
114.0235731554,22.6837430557,3,193168,2512707,43.93,229.20,0.10,9.21,3.90,3.65,7.23
114.0237218694,22.6838619322,4,193168,2512707,29.13,197.19,0.10,7.96,4.85,4.00,4.96
114.0236800010,22.6836742807,5,193168,2512707,29.54,198.03,0.09,7.48,4.93,4.72,4.20
114.0237009620,22.6836634760,1,193173,2512692,30.93,188.31,0.07,8.00,1.63,12.83,7.56
114.0236986894,22.6836329901,2,193173,2512692,39.05,163.58,0.09,6.76,2.68,8.93,6.85
114.0236451904,22.6836788064,3,193173,2512692,34.58,197.86,0.06,7.09,3.81,5.10,6.69
114.0237686069,22.6837046064,4,193173,2512692,25.46,201.64,0.09,8.54,3.83,4.02,3.81
114.0237127502,22.6835299982,5,193173,2512692,42.48,162.61,0.07,9.50,4.62,5.71,3.59
114.0236916213,22.6836280105,1,193173,2512697,41.76,159.31,0.06,9.50,1.28,11.37,8.18
114.0237501973,22.6835920006,2,193173,2512697,34.24,222.55,0.05,8.98,2.54,6.35,7.63
114.0236913126,22.6836590782,3,193173,2512697,32.13,167.96,0.07,9.45,4.00,6.35,5.81
114.0236105953,22.6835990300,4,193173,2512697,23.17,197.52,0.10,9.50,3.72,5.47,4.37
114.0236015353,22.6837295641,5,193173,2512697,33.23,231.55,0.10,9.50,5.27,4.89,4.07
