lon,lat,depth_m,x,y,temp буC,cond  ?S cm??,salt бы,pH,turb  NTU,chl(ug/L),odo(mg/L)
114.01358374913798,22.69367172508268,1,193163,2512697,28.98,212.6,0.07,8.603066599,1.46,7.47,12.48
114.01358374913798,22.69367172508268,2,193163,2512697,25.89,206.13,0.08,8.702140448,2.02,5.9,10.7
114.01358374913798,22.69367172508268,3,193163,2512697,34.74,159.3,0.09,8.7066627,3.77,2.69,7.8
114.01358374913798,22.69367172508268,4,193163,2512697,30.14,158.08,0.08,8.17107012,3.47,3.75,5.63
114.01358374913798,22.69367172508268,5,193163,2512697,31.76,226.42,0.07,8.512706165,5.16,3.88,4.66
114.01358277065542,22.693716832412743,1,193163,2512702,35.24,154.83,0.07,9.251982244,1.23,8.21,9.88
114.01358277065542,22.693716832412743,2,193163,2512702,31.38,172.13,0.07,9.412059004,2.23,4.88,9.55
114.01358277065542,22.693716832412743,3,193163,2512702,33.07,173.93,0.09,8.240856563,3.64,2.65,7.28
114.01358277065542,22.693716832412743,4,193163,2512702,32.68,178.13,0.09,8.944836994,5.2,2.82,5.06
114.01358277065542,22.693716832412743,5,193163,2512702,27.62,217.97,0.1,8.673710997,5.42,4.22,4.69
114.01363236283116,22.69367263298168,1,193168,2512697,34.87,189.64,0.06,9.400263174,1.31,7.48,8.41
114.01363236283116,22.69367263298168,2,193168,2512697,29.63,220.08,0.06,7.665507104,2.51,5,9.41
114.01363236283116,22.69367263298168,3,193168,2512697,31.09,201.17,0.08,9.041828644,3.5,3.03,7.43
114.01363236283116,22.69367263298168,4,193168,2512697,28.59,218.31,0.07,9.330988738,4.34,4.7,4.91
114.01363236283116,22.69367263298168,5,193168,2512697,32.1,204.23,0.08,7.685620214,6.07,3.14,5.1
114.01363138436446,22.693717740313737,1,193168,2512702,37.81,207.63,0.08,8.210702201,1.17,10.84,10.37
114.01363138436446,22.693717740313737,2,193168,2512702,26.79,159.4,0.07,9.371063548,2.63,4.07,7.36
114.01363138436446,22.693717740313737,3,193168,2512702,36.16,196.34,0.07,8.577604283,3.15,4.43,8.5
114.01363138436446,22.693717740313737,4,193168,2512702,34.86,167.6,0.08,8.206555044,3.99,3.43,5.93
114.01363138436446,22.693717740313737,5,193168,2512702,30.52,239.28,0.08,9.452602722,4.62,4.31,3.69
114.0136304058953,22.693762847645505,1,193168,2512707,28.72,171.78,0.06,8.731014219,1.23,7.83,9.5
114.0136304058953,22.693762847645505,2,193168,2512707,26.55,165.6,0.07,7.625353499,2.21,5,9.56
114.0136304058953,22.693762847645505,3,193168,2512707,33.22,208.21,0.09,8.162008591,3.53,2.7,8.55
114.0136304058953,22.693762847645505,4,193168,2512707,29.2,204.62,0.09,8.567295645,4.47,2.71,5.98
114.0136304058953,22.693762847645505,5,193168,2512707,25.27,185.85,0.1,7.968354792,4.32,3.08,4.88
114.01368195497516,22.69362843353157,1,193173,2512692,26.24,188.15,0.06,8.91203807,1.43,9.78,9.81
114.01368195497516,22.69362843353157,2,193173,2512692,36.89,184.64,0.08,7.317333429,2.61,5.74,8.26
114.01368195497516,22.69362843353157,3,193173,2512692,26.6,217.12,0.06,7.689636493,3.93,3.23,8.37
114.01368195497516,22.69362843353157,4,193173,2512692,25.4,204.2,0.08,7.432048644,4.39,2.93,4.82
114.01368195497516,22.69362843353157,5,193173,2512692,33.17,169.23,0.08,9.324832354,4.35,3.69,3.68
