lon,lat,depth_m,x,y,temp C,cond (uS/cm),salt,pH,turb NTU,chl(ug/L),odo(mg/L)
114.0056082032,22.6987390450,1,193163,2512697,20.88,226.66,0.07,8.73,1.43,3.79,14.87
114.0055054303,22.6987245057,2,193163,2512697,18.06,218.85,0.08,9.28,1.89,2.87,13.42
114.0056371117,22.6986496167,3,193163,2512697,26.34,161.99,0.09,9.24,3.90,1.41,9.10
114.0055876015,22.6987178833,4,193163,2512697,22.37,157.39,0.08,8.37,3.44,2.02,7.28
114.0055808559,22.6987138133,5,193163,2512697,25.09,211.69,0.07,8.22,5.40,1.99,5.82
114.0056126455,22.6988004699,1,193163,2512702,27.90,149.72,0.07,8.74,1.23,3.85,11.35
114.0056643301,22.6986548373,2,193163,2512702,24.48,170.12,0.07,9.50,2.06,2.39,11.23
114.0055323389,22.6987846690,3,193163,2512702,26.41,162.75,0.09,8.53,3.39,1.23,9.20
114.0056739827,22.6987776580,4,193163,2512702,24.45,182.81,0.09,8.60,5.39,1.41,6.42
114.0054890629,22.6986960289,5,193163,2512702,20.62,208.80,0.10,8.55,5.00,1.96,5.88
114.0056697870,22.6987300605,1,193168,2512697,25.02,199.00,0.06,9.50,1.30,3.85,10.76
114.0056166919,22.6987451180,2,193168,2512697,23.88,230.01,0.06,7.92,2.36,2.63,10.61
114.0056502271,22.6986405758,3,193168,2512697,24.92,209.27,0.08,8.57,3.69,1.54,8.94
114.0056619231,22.6986620141,4,193168,2512697,22.34,212.32,0.07,9.38,4.54,2.27,5.92
114.0055712451,22.6986017095,5,193168,2512697,25.49,220.55,0.08,8.15,5.83,1.50,6.49
114.0056504146,22.6987330641,1,193168,2512702,27.30,216.63,0.09,8.84,1.23,5.00,11.64
114.0056242821,22.6988073032,2,193168,2512702,19.15,158.75,0.07,9.50,2.69,2.08,9.19
114.0056458778,22.6986925420,3,193168,2512702,25.74,207.84,0.07,8.81,3.27,2.11,9.74
114.0057307367,22.6988088358,4,193168,2512702,25.00,157.01,0.08,8.65,4.15,1.65,7.55
114.0056815155,22.6987442222,5,193168,2512702,23.70,233.35,0.07,9.50,4.40,2.21,4.42
114.0055788973,22.6987947505,1,193168,2512707,23.20,159.45,0.06,9.20,1.25,3.63,11.29
114.0056090764,22.6986998595,2,193168,2512707,20.87,161.04,0.07,7.94,2.35,2.59,12.04
114.0055997487,22.6988299490,3,193168,2512707,26.49,191.96,0.09,8.03,3.59,1.37,10.21
114.0055675740,22.6986671484,4,193168,2512707,20.30,209.24,0.09,9.07,4.54,1.41,7.60
114.0055517096,22.6988493366,5,193168,2512707,19.02,172.52,0.09,7.55,4.25,1.59,5.46
